county,yes_total,yes_percent,no_total,no_percent,updated,download_timestamp
Alameda,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Alpine,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Amador,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Butte,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Calaveras,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Colusa,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Contra Costa,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Del Norte,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
El Dorado,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Fresno,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Glenn,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Humboldt,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Imperial,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Inyo,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Kern,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Kings,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Lake,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Lassen,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Los Angeles,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Madera,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Marin,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Mariposa,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Mendocino,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Merced,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Modoc,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Mono,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Monterey,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Napa,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Nevada,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Orange,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Placer,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Plumas,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Riverside,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Sacramento,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
San Benito,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
San Bernardino,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
San Diego,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
San Francisco,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
San Joaquin,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
San Luis Obispo,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
San Mateo,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Santa Barbara,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Santa Clara,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Santa Cruz,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Shasta,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Sierra,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Siskiyou,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Solano,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Sonoma,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Stanislaus,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Statewide,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
Sutter,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
